stock_code,year,close_yearend,close_m01,close_m02,close_m03,close_m04,close_m05,close_m06,close_m07,close_m08,close_m09,close_m10,close_m11,close_m12,shares,market_cap,momentum_12m,volatility_annual
2230,2021,5130.0,5350.0,5590.0,5420.0,5720.0,5840.0,5770.0,5800.0,5320.0,4940.0,4760.0,4550.0,5130.0,18705320.0,95958291600.0,-0.0411214953271028,0.2136449907906323
2240,2021,16572.0,12014.0,14059.0,18319.0,23176.0,22281.0,21386.0,21216.0,23090.0,26073.0,23389.0,15635.0,16572.0,27000000.0,447444000000.0,0.3793907108373564,0.6202594009936114
2270,2021,344500.0,340000.0,376000.0,378500.0,392000.0,471000.0,473000.0,438000.0,420000.0,414000.0,381000.0,318500.0,344500.0,,,0.013235294117647,0.3465848379897963
2310,2021,10520.0,8250.0,8900.0,9770.0,11140.0,11320.0,11140.0,10800.0,9890.0,8910.0,9180.0,10000.0,10520.0,39449510.0,415008845200.0,0.2751515151515151,0.2650145385739874
2320,2021,30100.0,43900.0,42300.0,43000.0,39400.0,40650.0,42800.0,40800.0,39200.0,37200.0,34650.0,27950.0,30100.0,15518616.0,467110341600.0,-0.3143507972665148,0.2596381554658066
2350,2021,6820.0,6220.0,8420.0,7600.0,8780.0,8360.0,10600.0,9270.0,8380.0,7770.0,7570.0,6200.0,6820.0,97667877.0,666094921140.0,0.0964630225080385,0.60160932003212
2360,2021,9730.0,8780.0,9350.0,9400.0,11200.0,11700.0,12250.0,11150.0,10250.0,12100.0,10950.0,8430.0,9730.0,11113373.0,108133119290.0,0.1082004555808655,0.4578381744966736
2380,2021,315000.0,198500.0,199500.0,237500.0,313000.0,307500.0,343500.0,355000.0,360000.0,416000.0,333000.0,275000.0,315000.0,8592896.0,2706762240000.0,0.5869017632241813,0.5330531115897319
2390,2021,22800.0,28500.0,27750.0,27350.0,29000.0,28800.0,28050.0,26650.0,26850.0,24800.0,23650.0,20950.0,22800.0,13763533.0,313808552400.0,-0.1999999999999999,0.1984804860018307
2410,2021,6510.0,4890.0,4950.0,4170.0,4000.0,4040.0,6030.0,7500.0,12350.0,8270.0,7690.0,5830.0,6510.0,27479820.0,178893628200.0,0.3312883435582823,1.0339969792749013
2450,2021,1825.0,1445.0,1615.0,1610.0,1740.0,1905.0,1990.0,1890.0,1930.0,1865.0,1820.0,1545.0,1825.0,90530915.0,165218919875.0,0.2629757785467128,0.3187976158248439
